Listing ID,Bedrooms,Bathrooms,Lot Size,House Size,Property Type,Price,Country
l_157861321,2 Beds,2 Baths,0.032 ac Lot Size,"('1,108.28 Sqft', ' sqft')",Condominium,"556,461 ",Mexico
l_153851403,1 Bed,2 Baths,,"('1,100 Sqft', ' sqft')",Condominium,"899,000 ",Mexico
l_158299667,4 Beds,4 Baths,,"('2,735.11 Sqft', ' sqft')",Condominium,"1,215,637.094536 ",Mexico
l_153567999,7 Beds,6 Baths,,"('4,540.72 Sqft', ' sqft')",Residential,"1,290,000 ",Mexico
l_153969421,1 Bed,1 Bath,,"('592.02 Sqft', ' sqft')",Condominium,"95,000 ",Mexico
l_142119911,2 Beds,1 Bath,,"('538.2 Sqft', ' sqft')",Residential,"140,000 ",Mexico
l_153800920,2 Beds,2 Baths,0.069 ac Lot Size,"('1,506.95 Sqft', ' sqft')",Residential,"369,000 ",Mexico
l_135144503,2 Beds,2 Baths,,"('1,034.2 Sqft', ' sqft')",Residential,"349,000 ",Mexico
l_157539410,1 Bed,1 Bath,,"('355.96 Sqft', ' sqft')",Condominium,"134,900 ",Mexico
l_152751157,2 Beds,2 Baths,,"('1,453.13 Sqft', ' sqft')",Residential,"321,250 ",Mexico
l_160653384,2 Beds,2 Baths,,"('1,497 Sqft', ' sqft')",Condominium,"475,000 ",Mexico
l_116116979,3 Beds,3 Baths,,"('1,679 Sqft', ' sqft')",Residential,"326,000 ",Mexico
l_132602093,3 Beds,4 Baths,,"('3,745.84 Sqft', ' sqft')",Multifamily,"759,000 ",Mexico
l_147129103,2 Beds,2 Baths,,"('1,288.76 Sqft', ' sqft')",Residential,"385,000 ",Mexico
l_160434330,4 Beds,2 Baths,,"('105 Sqft', ' sqft')",Residential,"195,000  3.1",Mexico
l_157540611,5 Beds,5 Baths,0.324 ac Lot Size,"('3,158 Sqft', ' sqft')",Residential,"449,000 ",Mexico
l_159467287,3 Beds,4 Baths,0.074 ac Lot Size,"('2,174 Sqft', ' sqft')",Residential,"422,500 ",Mexico
l_146311897,,,5.931 ac Lot Size,"('258,333.84 Sqft', ' sqft')",Lots And Land,"12,950,000 ",Mexico
l_157719490,1 Bed,1 Bath,,"('737 Sqft', ' sqft')",Residential,"299,000  40",Mexico
l_158299270,3 Beds,3 Baths,,"('1,980.56 Sqft', ' sqft')",Condominium,"961,443.479874 ",Mexico
l_158228032,3 Beds,1 Bath,,"('3,677.49 Sqft', ' sqft')",Residential,"521,455 ",Mexico
l_145484934,2 Beds,2 Baths,,"('1,726.53 Sqft', ' sqft')",Residential,"602,531 ",Mexico
l_160865272,10 Beds,7 Baths,0.831 ac Lot Size,"('6,376.48 Sqft', ' sqft')",Residential,"2,150,000 ",Mexico
l_143941133,3 Beds,3 Baths,,"('3,685.24 Sqft', ' sqft')",Residential,"510,094 ",Mexico
l_117905629,2 Beds,2 Baths,,"('1,119.45 Sqft', ' sqft')",Condominium,"299,000 ",Mexico
l_158773659,1 Bed,1 Bath,,"('729 Sqft', ' sqft')",Condominium,"268,064 ",Mexico
l_158973132,4 Beds,4 Baths,0.11 ac Lot Size,"('4,500 Sqft', ' sqft')",Residential,"1,950,000 ",Mexico
