Listing ID,Bedrooms,Bathrooms,Lot Size,House Size,Property Type,Price,Country
l_140533175,,,0.53 ac Lot Size,,Lots And Land,"204,000 ",Honduras
l_158964434,,,0.63 ac Lot Size,,Residential,"135,000 ",Honduras
l_158113721,5 Beds,4 Baths,0.399 ac Lot Size,,Residential,"324,700 ",Honduras
l_159850088,,,3.16 ac Lot Size,,Lots and Land,"329,000 ",Honduras
l_153391025,2 Beds,1 Bath,,"('850 Sqft', ' sqft')",Residential,"190,000 ",Honduras
l_107439252,,,,,Residential,"280,000 ",Honduras
l_158968735,2 Beds,2 Baths,0.148 ac Lot Size,,Residential,"950,000 ",Honduras
l_159148305,,,,,Residential,"119,000  101",Honduras
l_157390806,,,0.244 ac Lot Size,,Residential,"55,000 ",Honduras
l_158286927,5 Beds,4 Baths,,,Residential,"183,000 ",Honduras
l_150294589,,,,,Lots And Land,"64,600 ",Honduras
l_150294577,,,,,Lots And Land,"80,000 ",Honduras
l_140108354,4 Beds,2 Baths,,"('2,000 Sqft', ' sqft')",Residential,"315,000 ",Honduras
l_150294597,,,,,Lots And Land,"94,591 ",Honduras
l_151324389,,,3 ac Lot Size,,Lots And Land,"625,000 ",Honduras
l_150294581,,,,,Lots And Land,"69,500 ",Honduras
l_150703964,,,0.46 ac Lot Size,,Lots And Land,"79,500 ",Honduras
l_153051033,38 Beds,38 Baths,0.497 ac Lot Size,,Other,"3,500,000 ",Honduras
l_128469776,4 Beds,2 Baths,0.77 ac Lot Size,,Residential,"475,000 ",Honduras
l_135260472,,,,,Residential,"250,000 ",Honduras
l_128469742,,,0.17 ac Lot Size,,Lots And Land,"75,640 ",Honduras
l_99812467,2 Beds,2 Baths,,,Other,"1,000,000 ",Honduras
l_132545681,3 Beds,3 Baths,0.17 ac Lot Size,,Residential,"339,000 ",Honduras
l_117035215,4 Beds,3 Baths,,,Other,"499,900 ",Honduras
l_128469773,,,0.23 ac Lot Size,,Lots And Land,"139,000 ",Honduras
l_146639793,3 Beds,2 Baths,,,Residential,"449,900 ",Honduras
l_137322197,4 Beds,4 Baths,,,Residential,"499,000 ",Honduras
l_132214416,13 Beds,11 Baths,0.111 ac Lot Size,,Other,"1,100,000 ",Honduras
l_121177875,,,1.5 ac Lot Size,,Lots And Land,"99,000 ",Honduras
l_159377873,,,0.5 ac Lot Size,,Lots and Land,"750,000 ",Honduras
l_150535548,,,0.46 ac Lot Size,,Lots And Land,"69,500 ",Honduras
l_145353343,,,,,Residential,"150,000 ",Honduras
l_157296233,2 Beds,1 Bath,,,Residential,"175,000 ",Honduras
l_128469757,2 Beds,2 Baths,0.09 ac Lot Size,,Residential,"199,000 ",Honduras
l_130944940,,,,,Residential,"299,000 ",Honduras
l_152883192,3 Beds,3 Baths,,"('2,259 Sqft', ' sqft')",Residential,"395,000 ",Honduras
l_110421758,,,,,Lots And Land,"54,500 ",Honduras
