Listing ID,Bedrooms,Bathrooms,Lot Size,House Size,Property Type,Price,Country
l_156609852,5 Beds,6 Baths,0.396 ac Lot Size,"('7,500 Sqft', ' sqft')",Residential,"4,400,000 ",Costa Rica
l_160872533,3 Beds,2 Baths,1.005 ac Lot Size,"('2,798.62 Sqft', ' sqft')",Residential,"300,000 ",Costa Rica
l_155131079,3 Beds,3 Baths,,,Residential,"1,360,000 ",Costa Rica
l_156478129,3 Beds,3 Baths,,"('2,000 Sqft', ' sqft')",Condominium,"625,000 ",Costa Rica
l_133968740,,,0.955 ac Lot Size,,Lots and Land,"85,000  10",Costa Rica
l_160373674,3 Beds,2 Baths,,"('188 Sqft', ' sqft')",Condominium,"275,000 ",Costa Rica
l_158523428,3 Beds,2 Baths,0.812 ac Lot Size,"('1,765.28 Sqft', ' sqft')",Residential,"345,000 ",Costa Rica
l_142679841,2 Beds,2 Baths,,"('1,614.59 Sqft', ' sqft')",Residential,"299,000 ",Costa Rica
l_160079425,3 Beds,3 Baths,0.271 ac Lot Size,"('4,520.84 Sqft', ' sqft')",Residential,"2,649,000 ",Costa Rica
l_159583138,2 Beds,2 Baths,0.372 ac Lot Size,"('1,937.5 Sqft', ' sqft')",Residential,"395,000 ",Costa Rica
l_158575981,2 Beds,2 Baths,0.312 ac Lot Size,"('1,420.84 Sqft', ' sqft')",Condominium,"299,000 ",Costa Rica
l_137110101,3 Beds,2 Baths,,"('1,506.96 Sqft', ' sqft')",Residential,"344,000 ",Costa Rica
l_130426086,4 Beds,3 Baths,1.29 ac Lot Size,"('2,152.78 Sqft', ' sqft')",Residential,"519,000 ",Costa Rica
l_149612998,6 Beds,5 Baths,1.53 ac Lot Size,"('690 Sqft', ' sqft')",Residential,"2,795,000 ",Costa Rica
